mpolicy,lifepro,tier,payout_rows,pe_count,payout_amount,claimstat,header_mpaid,payee_source,pair_note
011261602C,9011261602,1,1,1,5166.17,1,5166.17,PE_SINGLE,
011262629C,9011262629,1,1,1,3.76,99,0.00,PE_SINGLE,
011263483C,9011263483,1,1,1,1449.77,1,3495.08,PE_SINGLE,
011263484C,9011263484,1,1,1,1684.95,1,4246.17,PE_SINGLE,
011263614C,9011263614,1,1,1,2399.49,1,2397.95,PE_SINGLE,
011263615C,9011263615,1,1,1,2149.12,1,2147.95,PE_SINGLE,
011264015C,9011264015,1,1,1,2416.67,1,2433.33,PE_SINGLE,
011264375C,9011264375,1,1,1,25108.67,3,25108.67,PE_SINGLE,
011266421C,9011266421,1,1,1,13501.51,3,13510.41,PE_SINGLE,
011269166C,9011269166,1,1,1,1889.56,1,2069.32,PE_SINGLE,
011269263C,9011269263,1,1,1,4056.81,1,5866.39,PE_SINGLE,
011269468C,9011269468,1,1,1,9073.78,1,8475.04,PE_SINGLE,
011274754C,9011274754,1,1,1,15.68,99,0.00,PE_SINGLE,
011275502C,9011275502,1,1,1,6289.83,1,6289.83,PE_SINGLE,
011275503C,9011275503,1,1,1,4400.18,1,4400.18,PE_SINGLE,
011282859C,9011282859,1,1,1,50143.24,3,50143.24,PE_SINGLE,
011283014C,9011283014,1,1,1,5685.2,1,6471.02,PE_SINGLE,
011283208C,9011283208,1,1,1,13650.0,99,0.00,PE_SINGLE,
012FG8217C,9012FG8217,2,4,4,1186.63,3,1207.14,PE_MULTI_PAIR_OK,PAIR_OK
013000181C,9013000181,1,1,1,3220.0,1,3220.00,PE_SINGLE,
015000043C,9015000043,1,1,1,3571.75,1,3521.27,PE_SINGLE,
015000080C,9015000080,1,1,1,2314.15,1,2284.84,PE_SINGLE,
015000104C,9015000104,1,1,1,4075.48,1,4046.58,PE_SINGLE,
015000117C,9015000117,1,1,1,3893.81,1,3828.78,PE_SINGLE,
015000138C,9015000138,1,1,1,2827.91,1,2812.16,PE_SINGLE,
015000341C,9015000341,3,1,0,5201.97,3,5217.64,B2,
015000416C,9015000416,1,1,1,2731.99,1,2718.11,PE_SINGLE,
015000450C,9015000450,1,1,1,2996.89,1,2996.25,PE_SINGLE,
015000466C,9015000466,1,1,1,41.37,99,0.00,PE_SINGLE,
015000570C,9015000570,1,1,1,5217.65,3,5217.65,PE_SINGLE,
018253C,9018253,1,1,1,14.32,99,0.00,PE_SINGLE,
018712FC,9018712F,1,1,1,481.5,99,0.00,PE_SINGLE,
01ML4054C,901ML4054,1,1,1,11.64,99,0.00,PE_SINGLE,
01ML8214C,901ML8214,1,1,1,1171.81,99,1.04,PE_SINGLE,
01ML8457C,901ML8457,1,1,1,1000.01,99,0.00,PE_SINGLE,
