MPOLICY,MPLAN,MANNLFEE,MSEMI,MQTRL,MMTHD,MMTHB,PROP_MSEMIFEE,PROP_MQTRLFEE,PROP_MMTHDFEE,PROP_MMTHBFEE,BEFORE_Q,AFTER_Q,DELTA_Q,BEFORE_MTHD,AFTER_MTHD,DELTA_MTHD,MMODEPREM,MPREM,MUNIT,MBILLFRM,MMODE
010850347C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,1033.02,1039.77,6.75,352.00,354.30,2.30,354.29,38.26000,100.00000,1,01
010850533C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,122.78,129.53,6.75,41.84,44.14,2.30,44.14,18.19000,25.00000,1,01
010850880C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,77.50,84.25,6.75,26.40,28.70,2.30,11.48,11.48,25.00000,2,01
010850881C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,59.88,66.63,6.75,20.40,22.70,2.30,8.87,8.87,25.00000,2,01
010851112C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,816.75,823.50,6.75,278.30,280.60,2.30,121.00,121.00,25.00000,1,12
010851148C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,9262.10,9268.85,6.75,3155.15,3157.45,2.30,686.00,686.00,50.00000,1,12
010851278C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2060.44,2067.19,6.75,702.07,704.37,2.30,305.25,305.25,25.00000,1,12
010851579C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1998.00,2004.75,6.75,680.79,683.09,2.30,296.00,296.00,25.00000,1,12
010851580C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,3300.75,3307.50,6.75,1124.69,1126.99,2.30,244.50,244.50,50.00000,1,12
010851847C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,269.46,276.21,6.75,91.82,94.12,2.30,19.96,19.96,50.00000,1,01
010852357C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,220.33,227.08,6.75,75.07,77.37,2.30,163.20,163.20,5.00000,1,12
010852709C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,73.24,79.99,6.75,24.95,27.25,2.30,10.85,10.85,25.00000,2,01
010852748C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,34.23,40.98,6.75,11.66,13.96,2.30,13.35,5.07000,25.00000,2,01
010852865C,1658CS,25.00,52.5031,27.0001,9.2000,9.2000,13.1258,6.7500,2.3000,2.3000,136.69,143.44,6.75,46.58,48.88,2.30,28.00,28.00,18.08077,1,01
010852966C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,816.75,823.50,6.75,278.30,280.60,2.30,121.00,121.00,25.00000,1,12
010853070C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,26.53,33.28,6.75,9.04,11.34,2.30,33.28,3.93000,25.00000,1,03
010853285C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,59.27,66.02,6.75,20.19,22.49,2.30,21.52,4.39000,50.00000,2,01
010853287C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,185.35,192.10,6.75,63.16,65.46,2.30,661.50,13.72960,50.00000,1,12
010853288C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,13.02,19.77,6.75,4.44,6.73,2.29,18.21,18.21,2.64736,2,01
010853539C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,148.16,154.91,6.75,50.48,52.78,2.30,109.75,109.75,5.00000,1,12
010854157C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,307.67,314.42,6.75,104.83,107.13,2.30,227.90,227.90,5.00000,1,12
010854307C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,40.91,47.66,6.75,13.94,16.24,2.30,15.53,3.03000,50.00000,2,01
010854364C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,24.72,31.47,6.75,8.42,10.72,2.30,15.26,15.26,6.00000,2,01
010855165C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,71.93,78.68,6.75,24.51,26.81,2.30,18.19,18.19,14.64588,2,01
010855418C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,113.95,120.70,6.75,38.82,41.12,2.30,39.34,4.22000,100.00000,2,01
010855657C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,252.55,259.30,6.75,86.03,88.33,2.30,37.41,37.41,25.00000,1,06
010855945C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,167.01,173.77,6.76,56.89,59.19,2.30,12.37,12.37,50.00000,1,01
010855995C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,476.82,483.57,6.75,162.48,164.78,2.30,940.28,17.66000,100.00000,1,06
010856188C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,75.74,82.49,6.75,25.80,28.10,2.30,11.22,11.22,25.00000,2,01
010856189C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,42.33,49.08,6.75,14.42,16.72,2.30,6.27,6.27,25.00000,2,01
010856342C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,492.08,498.83,6.75,167.67,169.97,2.30,498.83,36.45000,50.00000,1,03
010856918C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,220.33,227.08,6.75,75.07,77.37,2.30,163.20,163.20,5.00000,1,12
010856920C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,81.90,88.65,6.75,27.91,30.21,2.30,28.01,28.01,10.82925,1,03
010856925C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,238.14,244.89,6.75,81.14,83.44,2.30,17.64,17.64,50.00000,2,01
010857115C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,230.92,237.67,6.75,78.68,80.98,2.30,171.05,171.05,5.00000,1,12
010857119C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,93.56,100.31,6.75,31.88,34.18,2.30,371.50,13.86000,25.00000,1,12
010857359C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,23.69,30.44,6.75,8.07,10.37,2.30,9.92,3.51000,25.00000,2,01
010857632C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,154.10,160.85,6.75,52.51,54.81,2.30,52.43,22.83000,25.00000,2,01
010857637C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,42.60,49.35,6.75,14.51,16.81,2.30,6.31,6.31,25.00000,2,01
010857638C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,160.99,167.74,6.75,54.85,57.15,2.30,23.85,23.85,25.00000,2,01
010857727C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2222.44,2229.19,6.75,757.27,759.57,2.30,329.25,329.25,25.00000,1,12
010857881C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,3545.44,3552.19,6.75,1208.06,1210.36,2.30,525.25,525.25,25.00000,1,12
010858099C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,140.13,146.88,6.75,47.75,50.05,2.30,47.87,5.19000,100.00000,2,01
010858124C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,276.58,283.33,6.75,94.22,96.52,2.30,40.97,40.97,25.00000,1,03
010858396C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,55.49,62.24,6.75,18.91,21.21,2.30,230.50,8.22000,25.00000,1,12
010858434C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,14.04,20.79,6.75,4.78,7.08,2.30,7.08,2.08000,25.00000,1,01
010858435C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,12.15,18.90,6.75,4.14,6.44,2.30,6.44,1.80000,25.00000,1,01
010858443C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,66.76,73.51,6.75,22.75,25.05,2.30,312.25,9.89000,25.00000,1,12
010858488C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,2792.19,2798.94,6.75,951.43,953.73,2.30,912.25,164.15000,63.00000,2,01
010858489C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,2369.83,2376.58,6.75,807.52,809.82,2.30,774.59,139.32000,63.00000,2,01
010858518C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,96.40,103.15,6.75,32.84,35.14,2.30,33.62,14.28000,25.00000,2,01
010858585C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,326.83,333.58,6.75,111.36,113.66,2.30,48.42,48.42,25.00000,2,01
010858587C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,548.37,555.12,6.75,186.85,189.15,2.30,81.24,81.24,25.00000,1,06
010858613C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,494.50,501.25,6.75,168.45,170.75,2.30,73.25,73.25,25.00000,1,12
010858614C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,501.25,508.00,6.75,170.75,173.05,2.30,74.25,74.25,25.00000,1,12
010858907C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,365.85,372.60,6.75,124.66,126.96,2.30,126.96,54.20000,25.00000,1,01
010859093C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,101.68,108.43,6.75,34.65,36.95,2.30,37.66,37.66,10.00000,1,01
010859280C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,183.60,190.35,6.75,62.56,64.86,2.30,62.04,6.80000,100.00000,2,01
010859282C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,39.41,46.16,6.75,13.43,15.73,2.30,19.46,19.46,7.50000,2,01
010859462C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,901.01,907.76,6.75,306.99,309.29,2.30,333.70,333.70,10.00000,1,12
010859658C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,17.67,24.42,6.75,6.02,8.32,2.30,13.09,13.09,5.00000,2,01
010860471C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,60.35,67.10,6.75,20.56,22.86,2.30,21.87,8.94000,25.00000,2,01
010860472C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,178.49,185.24,6.75,60.80,63.10,2.30,60.37,13.22000,50.00000,2,01
010860628C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,1156.43,1163.18,6.75,394.02,396.32,2.30,329.46,329.46,13.00000,1,12
010860900C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,79.17,85.92,6.75,26.97,29.27,2.30,58.64,58.64,5.00000,1,03
010860970C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,32.81,39.56,6.75,11.18,13.48,2.30,24.30,24.30,5.00000,2,01
010861363C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,71.89,78.64,6.75,24.49,26.79,2.30,10.65,10.65,25.00000,2,01
010862097C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,859.04,865.79,6.75,292.63,294.93,2.30,127.25,127.25,25.00000,1,12
010863167C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,127.12,133.87,6.75,43.31,45.61,2.30,94.16,94.16,5.00000,2,06
010863334C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,4841.44,4848.19,6.75,1649.66,1651.96,2.30,717.25,717.25,25.00000,1,12
010863394C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,967.05,973.80,6.75,329.43,331.73,2.30,143.25,143.25,25.00000,1,12
010863485C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,170.05,176.80,6.75,57.93,60.23,2.30,25.19,25.19,25.00000,2,01
010863788C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,136.89,143.64,6.75,46.64,48.94,2.30,44.18,20.28000,25.00000,2,01
010863838C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,54.20,60.95,6.75,18.47,20.77,2.30,40.15,40.15,5.00000,1,03
010863936C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,206.89,213.64,6.75,70.49,72.79,2.30,30.65,30.65,25.00000,1,03
010864397C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,38.48,45.23,6.75,13.11,15.41,2.30,15.41,5.70000,25.00000,1,01
010864471C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,831.94,838.69,6.75,283.47,285.77,2.30,123.25,123.25,25.00000,1,12
010864474C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,948.26,955.01,6.75,323.09,325.39,2.30,351.20,351.20,10.00000,1,12
010866396C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,421.33,428.08,6.75,143.56,145.86,2.30,62.42,62.42,25.00000,1,01
010866751C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,735.50,742.25,6.75,250.60,252.90,2.30,272.40,272.40,10.00000,1,12
010866752C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,141.68,148.43,6.75,48.28,50.58,2.30,20.99,20.99,25.00000,2,01
010867962C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2157.23,2163.98,6.75,735.05,737.35,2.30,319.59,319.59,25.00000,1,06
010867974C,1659SR,25.00,52.5017,27.0007,8.8030,8.8030,13.1254,6.7502,2.2008,2.2008,293.23,299.98,6.75,95.60,97.80,2.20,217.20,217.20,5.00000,1,12
010868131C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,302.17,308.92,6.75,102.93,105.23,2.30,44.76,44.76,25.00000,1,06
010868188C,1659CS,25.00,52.5016,26.9974,9.1996,9.2013,13.1254,6.7493,2.2999,2.3003,180.96,187.71,6.75,61.66,63.96,2.30,35.22,35.22,19.03155,1,03
010868189C,1659CS,25.00,52.5016,26.9974,9.1996,9.2013,13.1254,6.7493,2.2999,2.3003,31.28,38.03,6.75,10.66,12.96,2.30,35.22,6.78125,17.08830,1,03
010868984C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,476.82,483.57,6.75,162.48,164.78,2.30,164.77,17.66000,100.00000,1,01
010869344C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,766.12,772.88,6.76,261.05,263.35,2.30,113.50,113.50,25.00000,1,12
010870474C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,544.65,551.41,6.76,185.54,187.84,2.30,40.34,40.34,50.00000,1,01
010871146C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,279.39,286.14,6.75,95.19,97.49,2.30,206.95,206.95,5.00000,1,12
010871793C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,127.12,133.87,6.75,43.31,45.61,2.30,94.16,94.16,5.00000,1,06
010871903C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,198.95,205.70,6.75,67.77,70.07,2.30,21.05,21.05,35.00000,2,01
010872105C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,25.92,32.67,6.75,8.83,11.13,2.30,11.13,3.84000,25.00000,1,01
010872109C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,1093.09,1099.84,6.75,372.36,374.66,2.30,40.48,40.48,100.00000,2,01
010872114C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,232.81,239.56,6.75,79.33,81.63,2.30,34.49,34.49,25.00000,1,03
010872324C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2242.89,2249.64,6.75,764.24,766.54,2.30,83.07,83.07,100.00000,LST,01
010872326C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,848.81,855.56,6.75,289.22,291.52,2.30,125.75,125.75,25.00000,1,12
010872327C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,816.75,823.50,6.75,278.30,280.60,2.30,121.00,121.00,25.00000,1,12
010872328C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,933.19,939.94,6.75,317.97,320.27,2.30,138.25,138.25,25.00000,1,12
010872329C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,985.50,992.25,6.75,335.80,338.10,2.30,146.00,146.00,25.00000,1,12
010872331C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,6979.50,6986.25,6.75,2378.17,2380.47,2.30,517.00,517.00,50.00000,1,12
010872404C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,12.15,18.90,6.75,4.14,6.44,2.30,6.16,1.80000,25.00000,2,01
010872406C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,11.88,18.63,6.75,4.05,6.35,2.30,6.07,1.76000,25.00000,2,01
010872415C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,33.05,39.80,6.75,11.26,13.56,2.30,20.40,20.40,6.00000,2,01
010872416C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,12.29,19.04,6.75,4.19,6.49,2.30,6.20,1.82000,25.00000,2,01
010872417C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,127.59,134.34,6.75,43.46,45.76,2.30,18.90,18.90,25.00000,1,03
010872522C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,27.61,34.36,6.75,9.41,11.71,2.30,11.20,4.09000,25.00000,2,01
010872526C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,783.67,790.42,6.75,267.04,269.34,2.30,257.62,116.10000,25.00000,2,01
010873140C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,1500.19,1506.94,6.75,511.17,513.47,2.30,222.25,222.25,25.00000,1,12
010873154C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,856.19,862.94,6.75,291.72,294.02,2.30,317.10,317.10,10.00000,1,12
010873155C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,40.57,47.32,6.75,13.82,16.12,2.30,92.01,6.01000,25.00000,1,06
010873283C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,27.34,34.09,6.75,9.31,11.61,2.30,34.09,4.05000,25.00000,1,03
010873285C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,638.28,645.03,6.75,217.49,219.79,2.30,645.03,15.76000,150.00000,1,03
010873288C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,192.71,199.46,6.75,65.67,67.97,2.30,738.75,28.55000,25.00000,1,12
010873499C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,428.83,435.58,6.75,146.12,148.42,2.30,63.53,63.53,25.00000,1,06
010873725C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2929.50,2936.25,6.75,998.19,1000.49,2.30,217.00,217.00,50.00000,1,12
010874688C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,605.95,612.70,6.75,206.42,208.72,2.30,22.44,22.44,100.00000,2,01
010874797C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,283.51,290.26,6.75,96.60,98.90,2.30,105.00,105.00,10.00000,1,03
010874801C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,197.25,204.00,6.75,67.21,69.51,2.30,396.66,146.11000,5.00000,1,06
010874806C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,261.12,267.87,6.75,88.95,91.25,2.30,38.68,38.68,25.00000,1,03
010875130C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,20.42,27.17,6.75,6.96,9.26,2.30,16.26,16.26,4.65142,1,01
010875783C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,24.58,31.33,6.75,8.38,10.68,2.30,18.21,18.21,5.00000,2,01
010875937C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,4706.66,4713.41,6.75,1603.33,1605.63,2.30,249.00,249.00,70.00000,1,12
010876417C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,1287.39,1294.14,6.75,438.64,440.94,2.30,476.80,476.80,10.00000,1,12
010876736C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,42.29,49.04,6.75,14.41,16.70,2.29,15.98,4.35000,36.00000,2,01
010876737C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,57.84,64.59,6.75,19.70,22.00,2.30,21.05,5.95000,36.00000,2,01
010877009C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,399.53,406.28,6.75,136.14,138.44,2.30,59.19,59.19,25.00000,1,06
010877012C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,266.43,273.18,6.75,90.78,93.08,2.30,197.35,197.35,5.00000,1,12
010877072C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,1828.99,1835.75,6.76,623.05,625.35,2.30,90.31,90.31,75.00000,2,01
010877466C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,727.38,734.13,6.75,247.85,250.15,2.30,250.15,26.94000,100.00000,1,01
010877467C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,261.90,268.65,6.75,89.24,91.54,2.30,91.54,9.70000,100.00000,1,01
010877469C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,82.15,88.90,6.75,27.99,30.29,2.30,28.97,12.17000,25.00000,2,01
010877478C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,150.00,156.75,6.75,51.10,53.40,2.30,22.22,22.22,25.00000,2,01
010877480C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,130.76,137.51,6.75,44.54,46.84,2.30,19.37,19.37,25.00000,1,03
010877481C,1658C1,25.00,52.5047,27.0032,9.1987,8.7971,13.1262,6.7508,2.2997,2.1993,133.53,140.28,6.75,45.49,47.79,2.30,19.78,19.78,25.00000,1,03
010877715C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2929.50,2936.25,6.75,998.19,1000.49,2.30,217.00,217.00,50.00000,1,12
010877890C,1659SR,25.00,52.5017,27.0007,8.8030,8.8030,13.1254,6.7502,2.2008,2.2008,3658.05,3664.81,6.76,1192.63,1194.83,2.20,677.40,677.40,20.00000,1,12
010878099C,1659CR,25.00,52.5017,27.0007,9.1997,8.7966,13.1254,6.7502,2.2999,2.1991,139.88,146.63,6.75,47.66,49.96,2.30,103.61,103.61,5.00000,1,06
010878315C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,824.31,831.06,6.75,280.88,283.18,2.30,270.86,30.53000,100.00000,2,01
010878316C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,932.85,939.60,6.75,317.87,320.17,2.30,306.24,34.55000,100.00000,2,01
010878559C,5667AT,25.00,52.5000,27.0000,9.2002,8.8007,13.1250,6.7500,2.3001,2.2002,231.39,238.14,6.75,78.85,81.15,2.30,77.62,17.14000,50.00000,2,01
010878589C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,523.53,530.28,6.75,178.39,180.69,2.30,77.56,77.56,25.00000,1,03
010878592C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,2507.62,2514.38,6.76,854.44,856.74,2.30,371.50,371.50,25.00000,1,12
010878904C,1659C2,25.00,52.5000,27.0000,9.1999,8.8018,13.1250,6.7500,2.3000,2.2005,193.79,200.54,6.75,66.03,68.33,2.30,28.71,28.71,25.00000,2,01
