MPOLICY,LIFEPRO,LP_CODE,TYPE_CODE,SOURCE_FIELD,PAID_UP_TYPE,BEFORE_MNFOPT,PRED_BEFORE,AFTER_MNFOPT,CHANGED,MDIVOPT,MSTATUS
010880257C,9010880257,1,BF,BF,ET,2,2,2,N,0,55
010880362C,9010880362,1,BF,BF,,1,1,1,N,0,22
010880469C,9010880469,0,BA,NF,LE,2,2,2,N,0,44
010880950C,9010880950,0,BA,NF,,0,0,0,N,0,22
010880951C,9010880951,0,BA,NF,,0,0,0,N,0,22
010881096C,9010881096,4,BF,BF,,0,0,2,Y,0,53
010881272C,9010881272,4,BF,BF,,0,0,2,Y,0,55
010881273C,9010881273,4,BF,BF,,0,0,2,Y,0,55
010881277C,9010881277,9,BF,BF,PU,0,0,0,N,0,41
010881301C,9010881301,1,BF,BF,,1,1,1,N,0,22
010881307C,9010881307,1,BF,BF,,1,1,1,N,0,22
010881308C,9010881308,1,BF,BF,,1,1,1,N,0,22
010881309C,9010881309,1,BF,BF,,1,1,1,N,0,22
010881974C,9010881974,4,BF,BF,,0,0,2,Y,0,53
010881975C,9010881975,4,BF,BF,,0,0,2,Y,0,53
010882195C,9010882195,0,BA,NF,LE,2,2,2,N,0,54
010882408C,9010882408,1,BF,BF,,1,1,1,N,0,22
010882416C,9010882416,4,BF,BF,,0,0,2,Y,0,22
010882604C,9010882604,0,BA,NF,LE,2,2,2,N,0,44
010883172C,9010883172,1,BF,BF,,1,1,1,N,0,22
010883239C,9010883239,1,BF,BF,,1,1,1,N,0,22
010883244C,9010883244,1,BF,BF,,1,1,1,N,0,22
010883245C,9010883245,1,BF,BF,,1,1,1,N,0,53
010883246C,9010883246,1,BF,BF,,1,1,1,N,0,53
010883533C,9010883533,1,BF,BF,,1,1,1,N,0,22
010883563C,9010883563,4,BF,BF,,0,0,2,Y,0,53
010883564C,9010883564,1,BF,BF,,1,1,1,N,0,22
010883567C,9010883567,4,BF,BF,,0,0,2,Y,0,22
010883731C,9010883731,4,BF,BF,,0,0,2,Y,0,22
010884052C,9010884052,4,BF,BF,,0,0,2,Y,0,55
010884969C,9010884969,4,BF,BF,ET,2,2,2,N,0,44
010885383C,9010885383,0,BA,NF,LE,2,2,2,N,0,53
010885441C,9010885441,4,BF,BF,,0,0,2,Y,0,22
010885442C,9010885442,1,BF,BF,RU,3,3,3,N,0,45
010886099C,9010886099,0,BA,NF,LE,2,2,2,N,0,44
010886528C,9010886528,1,BF,BF,,1,1,1,N,0,55
010886805C,9010886805,4,BF,BF,,0,0,2,Y,0,53
010886812C,9010886812,1,BF,BF,,1,1,1,N,0,53
010886851C,9010886851,4,BF,BF,,0,0,2,Y,0,55
010887617C,9010887617,4,BF,BF,,0,0,2,Y,0,22
010887770C,9010887770,0,BA,NF,LE,2,2,2,N,0,54
010887780C,9010887780,4,BF,BF,,0,0,2,Y,0,57
010887923C,9010887923,4,BF,BF,,0,0,2,Y,0,22
010887925C,9010887925,1,BF,BF,,1,1,1,N,0,22
010887927C,9010887927,1,BF,BF,ET,2,2,2,N,0,55
010887929C,9010887929,1,BF,BF,ET,2,2,2,N,0,55
010888232C,9010888232,4,BF,BF,,0,0,2,Y,0,53
010888312C,9010888312,0,BA,NF,LE,2,2,2,N,0,44
010888313C,9010888313,0,BA,NF,LE,2,2,2,N,0,44
010888338C,9010888338,4,BF,BF,,0,0,2,Y,0,53
010888339C,9010888339,1,BF,BF,,1,1,1,N,0,53
010888649C,9010888649,1,BF,BF,,1,1,1,N,0,53
010888941C,9010888941,1,BF,BF,,1,1,1,N,0,22
010889177C,9010889177,1,BF,BF,,1,1,1,N,0,22
010889364C,9010889364,4,BF,BF,,0,0,2,Y,0,53
010889439C,9010889439,4,BF,BF,ET,2,2,2,N,0,44
010889547C,9010889547,0,BA,NF,LE,2,2,2,N,0,53
010889785C,9010889785,1,BF,BF,,1,1,1,N,0,22
010890614C,9010890614,4,BF,BF,,0,0,2,Y,0,22
010890622C,9010890622,4,BF,BF,,0,0,2,Y,0,53
010890627C,9010890627,4,BF,BF,,0,0,2,Y,0,53
010891074C,9010891074,1,BF,BF,RU,3,3,3,N,0,45
010891075C,9010891075,1,BF,BF,,1,1,1,N,0,53
010891079C,9010891079,1,BF,BF,,1,1,1,N,0,53
010891087C,9010891087,1,BF,BF,,1,1,1,N,0,22
010891307C,9010891307,1,BF,BF,,1,1,1,N,0,22
010891309C,9010891309,4,BF,BF,,0,0,2,Y,0,22
010891328C,9010891328,4,BF,BF,,0,0,2,Y,0,22
010891993C,9010891993,1,BF,BF,,1,1,1,N,0,22
010892016C,9010892016,4,BF,BF,,0,0,2,Y,0,22
010892327C,9010892327,4,BF,BF,,0,0,2,Y,0,53
010892685C,9010892685,4,BF,BF,,0,0,2,Y,0,53
010892688C,9010892688,1,BF,BF,,1,1,1,N,0,22
010892689C,9010892689,4,BF,BF,,0,0,2,Y,0,22
010892690C,9010892690,4,BF,BF,,0,0,2,Y,0,22
010892691C,9010892691,4,BF,BF,,0,0,2,Y,0,22
010892693C,9010892693,1,BF,BF,,1,1,1,N,0,53
010892695C,9010892695,1,BF,BF,,1,1,1,N,0,22
010892696C,9010892696,1,BF,BF,,1,1,1,N,0,55
010893115C,9010893115,1,BF,BF,,1,1,1,N,0,22
010893160C,9010893160,1,BF,BF,,1,1,1,N,0,55
010893386C,9010893386,4,BF,BF,,0,0,2,Y,0,55
010893387C,9010893387,9,BF,BF,PU,0,0,0,N,0,53
010893394C,9010893394,9,BF,BF,PU,0,0,0,N,0,41
010893908C,9010893908,4,BF,BF,,0,0,2,Y,0,53
010893949C,9010893949,4,BF,BF,,0,0,2,Y,0,53
010893950C,9010893950,4,BF,BF,,0,0,2,Y,0,53
010894743C,9010894743,1,BF,BF,,1,1,1,N,0,22
010894754C,9010894754,9,BF,BF,PU,0,0,0,N,0,55
010894939C,9010894939,1,BF,BF,,1,1,1,N,0,22
010894941C,9010894941,1,BF,BF,,1,1,1,N,0,22
010894951C,9010894951,4,BF,BF,,0,0,2,Y,0,53
010895253C,9010895253,4,BF,BF,,0,0,2,Y,0,53
010895675C,9010895675,0,BA,NF,LE,2,2,2,N,0,53
010895689C,9010895689,4,BF,BF,,0,0,2,Y,0,22
010895934C,9010895934,1,BF,BF,,1,1,1,N,0,22
010895935C,9010895935,1,BF,BF,,1,1,1,N,0,54
010895936C,9010895936,1,BF,BF,,1,1,1,N,0,54
010895937C,9010895937,0,BA,NF,LE,2,2,2,N,0,44
010895938C,9010895938,4,BF,BF,,0,0,2,Y,0,22
010896144C,9010896144,4,BF,BF,,0,0,2,Y,0,53
010896854C,9010896854,4,BF,BF,,0,0,2,Y,0,22
010896866C,9010896866,4,BF,BF,,0,0,2,Y,0,53
010896915C,9010896915,4,BF,BF,,0,0,2,Y,0,53
010896924C,9010896924,4,BF,BF,,0,0,2,Y,0,53
010896931C,9010896931,1,BF,BF,,1,1,1,N,0,55
010896932C,9010896932,1,BF,BF,,1,1,1,N,0,22
010897295C,9010897295,1,BF,BF,,1,1,1,N,0,22
010897303C,9010897303,9,BF,BF,PU,0,0,0,N,0,53
010897517C,9010897517,4,BF,BF,,0,0,2,Y,0,55
010897521C,9010897521,4,BF,BF,,0,0,2,Y,0,22
010897662C,9010897662,1,BF,BF,,1,1,1,N,0,22
010897663C,9010897663,4,BF,BF,,0,0,2,Y,0,22
010897664C,9010897664,1,BF,BF,,1,1,1,N,0,54
010898471C,9010898471,4,BF,BF,,0,0,2,Y,0,22
010898542C,9010898542,4,BF,BF,,0,0,2,Y,0,53
010898545C,9010898545,9,BF,BF,PU,0,0,0,N,0,53
010898547C,9010898547,9,BF,BF,PU,0,0,0,N,0,53
010898692C,9010898692,4,BF,BF,,0,0,2,Y,0,53
010899163C,9010899163,0,BA,NF,LE,2,2,2,N,0,54
010899709C,9010899709,4,BF,BF,,0,0,2,Y,0,55
010899715C,9010899715,4,BF,BF,,0,0,2,Y,0,22
010899716C,9010899716,4,BF,BF,,0,0,2,Y,0,22
010899717C,9010899717,4,BF,BF,,0,0,2,Y,0,22
010899718C,9010899718,4,BF,BF,,0,0,2,Y,0,22
010899761C,9010899761,4,BF,BF,,0,0,2,Y,0,55
010900142C,9010900142,4,BF,BF,RU,3,3,3,N,0,53
010900144C,9010900144,9,BF,BF,PU,0,0,0,N,0,53
010900145C,9010900145,4,BF,BF,,0,0,2,Y,0,53
010900150C,9010900150,9,BF,BF,PU,0,0,0,N,0,41
010900152C,9010900152,9,BF,BF,PU,0,0,0,N,0,53
010900154C,9010900154,9,BF,BF,PU,0,0,0,N,0,55
010900155C,9010900155,4,BF,BF,,0,0,2,Y,0,55
010900355C,9010900355,4,BF,BF,,0,0,2,Y,0,22
010900512C,9010900512,4,BF,BF,,0,0,2,Y,0,54
010900517C,9010900517,4,BF,BF,,0,0,2,Y,0,53
010900519C,9010900519,4,BF,BF,,0,0,2,Y,0,53
010900529C,9010900529,1,BF,BF,ET,2,2,2,N,0,44
010900530C,9010900530,1,BF,BF,ET,2,2,2,N,0,44
010900620C,9010900620,4,BF,BF,,0,0,2,Y,0,55
010900623C,9010900623,0,BA,NF,LE,2,2,2,N,0,44
010900971C,9010900971,1,BF,BF,,1,1,1,N,0,55
010900975C,9010900975,4,BF,BF,,0,0,2,Y,0,22
010901657C,9010901657,1,BF,BF,ET,2,2,2,N,0,44
010901775C,9010901775,1,BF,BF,,1,1,1,N,0,22
010901787C,9010901787,4,BF,BF,,0,0,2,Y,0,22
010901824C,9010901824,9,BF,BF,PU,0,0,0,N,0,53
010901830C,9010901830,9,BF,BF,PU,0,0,0,N,0,41
010901832C,9010901832,1,BF,BF,,1,1,1,N,0,22
010901833C,9010901833,4,BF,BF,,0,0,2,Y,0,53
010902761C,9010902761,4,BF,BF,,0,0,2,Y,0,53
010902903C,9010902903,4,BF,BF,,0,0,2,Y,0,22
010902968C,9010902968,4,BF,BF,,0,0,2,Y,0,22
010902972C,9010902972,4,BF,BF,,0,0,2,Y,0,22
010902973C,9010902973,4,BF,BF,,0,0,2,Y,0,22
010903411C,9010903411,1,BF,BF,,1,1,1,N,0,22
010903917C,9010903917,9,BF,BF,PU,0,0,0,N,0,41
010903919C,9010903919,1,BF,BF,RU,3,3,3,N,0,53
010903927C,9010903927,9,BF,BF,PU,0,0,0,N,0,53
010904097C,9010904097,4,BF,BF,,0,0,2,Y,0,53
010904578C,9010904578,1,BF,BF,,1,1,1,N,0,22
010904649C,9010904649,9,BF,BF,PU,0,0,0,N,0,53
010904654C,9010904654,4,BF,BF,,0,0,2,Y,0,22
010904798C,9010904798,4,BF,BF,,0,0,2,Y,0,55
010904802C,9010904802,1,BF,BF,,1,1,1,N,0,22
010904805C,9010904805,4,BF,BF,,0,0,2,Y,0,22
010904808C,9010904808,4,BF,BF,,0,0,2,Y,0,54
010904809C,9010904809,4,BF,BF,,0,0,2,Y,0,54
010904810C,9010904810,4,BF,BF,,0,0,2,Y,0,54
010905200C,9010905200,1,BF,BF,,1,1,1,N,0,22
010905337C,9010905337,1,BF,BF,RU,3,3,3,N,0,45
010905677C,9010905677,4,BF,BF,,0,0,2,Y,0,53
010906254C,9010906254,1,BF,BF,,1,1,1,N,0,53
010907385C,9010907385,0,BA,NF,,0,0,0,N,0,56
010907726C,9010907726,4,BF,BF,,0,0,2,Y,0,22
010908068C,9010908068,4,BF,BF,,0,0,2,Y,0,22
010908069C,9010908069,4,BF,BF,,0,0,2,Y,0,55
010908070C,9010908070,4,BF,BF,,0,0,2,Y,0,55
010908075C,9010908075,4,BF,BF,,0,0,2,Y,0,22
010908285C,9010908285,1,BF,BF,,1,1,1,N,0,22
010908667C,9010908667,4,BF,BF,,0,0,2,Y,0,22
010908669C,9010908669,1,BF,BF,,1,1,1,N,0,22
010909669C,9010909669,1,BF,BF,ET,2,2,2,N,0,55
010909687C,9010909687,1,BF,BF,,1,1,1,N,0,22
010909767C,9010909767,4,BF,BF,,0,0,2,Y,0,53
010910320C,9010910320,4,BF,BF,,0,0,2,Y,0,53
010911627C,9010911627,4,BF,BF,,0,0,2,Y,0,53
010911853C,9010911853,4,BF,BF,,0,0,2,Y,0,22
010912454C,9010912454,4,BF,BF,,0,0,2,Y,0,53
010913059C,9010913059,1,BF,BF,,1,1,1,N,0,22
010913060C,9010913060,4,BF,BF,,0,0,2,Y,0,22
010913101C,9010913101,4,BF,BF,,0,0,2,Y,0,53
010913253C,9010913253,4,BF,BF,,0,0,2,Y,0,53
010913261C,9010913261,4,BF,BF,ET,2,2,2,N,0,55
010913551C,9010913551,4,BF,BF,,0,0,2,Y,0,55
010913589C,9010913589,4,BF,BF,,0,0,2,Y,0,22
010913799C,9010913799,1,BF,BF,,1,1,1,N,0,22
010914301C,9010914301,4,BF,BF,,0,0,2,Y,0,53
010914378C,9010914378,0,BA,NF,,0,0,0,N,0,54
010914384C,9010914384,4,BF,BF,,0,0,2,Y,0,53
010915030C,9010915030,4,BF,BF,,0,0,2,Y,0,53
010915533C,9010915533,4,BF,BF,,0,0,2,Y,0,53
010915619C,9010915619,4,BF,BF,,0,0,2,Y,0,53
010915620C,9010915620,0,BA,NF,LE,2,2,2,N,0,54
010915810C,9010915810,4,BF,BF,,0,0,2,Y,0,22
010916260C,9010916260,4,BF,BF,,0,0,2,Y,0,53
010916282C,9010916282,0,BA,NF,LE,2,2,2,N,0,54
010916879C,9010916879,4,BF,BF,,0,0,2,Y,0,53
010916889C,9010916889,4,BF,BF,,0,0,2,Y,0,22
010917172C,9010917172,1,BF,BF,,1,1,1,N,0,53
010917231C,9010917231,1,BF,BF,,1,1,1,N,0,54
010917520C,9010917520,4,BF,BF,,0,0,2,Y,0,53
010917522C,9010917522,4,BF,BF,,0,0,2,Y,0,22
010917531C,9010917531,1,BF,BF,,1,1,1,N,0,22
010917599C,9010917599,4,BF,BF,,0,0,2,Y,0,22
010917600C,9010917600,4,BF,BF,,0,0,2,Y,0,53
010917601C,9010917601,0,BA,NF,LE,2,2,2,N,0,54
010917602C,9010917602,0,BA,NF,LE,2,2,2,N,0,44
010917603C,9010917603,0,BA,NF,LE,2,2,2,N,0,44
010917604C,9010917604,0,BA,NF,LE,2,2,2,N,0,44
010917605C,9010917605,0,BA,NF,LE,2,2,2,N,0,54
010918786C,9010918786,1,BF,BF,,1,1,1,N,0,22
010918787C,9010918787,1,BF,BF,,1,1,1,N,0,22
010919258C,9010919258,4,BF,BF,,0,0,2,Y,0,53
010919431C,9010919431,4,BF,BF,,0,0,2,Y,0,53
010920186C,9010920186,4,BF,BF,ET,2,2,2,N,0,44
010920784C,9010920784,9,BF,BF,PU,0,0,0,N,0,55
010920785C,9010920785,9,BF,BF,PU,0,0,0,N,0,55
010920793C,9010920793,4,BF,BF,RU,3,3,3,N,0,53
010920798C,9010920798,1,BF,BF,,1,1,1,N,0,53
010921853C,9010921853,0,BA,NF,LE,2,2,2,N,0,54
010921865C,9010921865,1,BF,BF,,1,1,1,N,0,22
010922547C,9010922547,4,BF,BF,,0,0,2,Y,0,22
010922553C,9010922553,1,BF,BF,,1,1,1,N,0,22
010924474C,9010924474,9,BF,BF,PU,0,0,0,N,0,53
010924475C,9010924475,9,BF,BF,PU,0,0,0,N,0,53
010924487C,9010924487,0,BA,NF,LE,2,2,2,N,0,54
010924488C,9010924488,0,BA,NF,LE,2,2,2,N,0,54
010924513C,9010924513,1,BF,BF,,1,1,1,N,0,22
010924660C,9010924660,4,BF,BF,,0,0,2,Y,0,22
010926025C,9010926025,4,BF,BF,ET,2,2,2,N,0,44
010926226C,9010926226,0,BA,NF,LE,2,2,2,N,0,54
010926346C,9010926346,0,BA,NF,LE,2,2,2,N,0,54
010926347C,9010926347,4,BF,BF,,0,0,2,Y,0,55
010926348C,9010926348,4,BF,BF,,0,0,2,Y,0,55
010926349C,9010926349,0,BA,NF,LE,2,2,2,N,0,54
010926357C,9010926357,4,BF,BF,,0,0,2,Y,0,22
010926969C,9010926969,0,BA,NF,LE,2,2,2,N,0,44
010926970C,9010926970,0,BA,NF,LE,2,2,2,N,0,44
010927421C,9010927421,1,BF,BF,,1,1,1,N,0,22
010927552C,9010927552,1,BF,BF,,1,1,1,N,0,55
010927885C,9010927885,0,BA,NF,LE,2,2,2,N,0,53
010927989C,9010927989,1,BF,BF,,1,1,1,N,0,22
010928016C,9010928016,4,BF,BF,,0,0,2,Y,0,22
010928261C,9010928261,4,BF,BF,,0,0,2,Y,0,55
010928491C,9010928491,1,BF,BF,,1,1,1,N,0,22
010928495C,9010928495,1,BF,BF,,1,1,1,N,0,53
010928497C,9010928497,1,BF,BF,,1,1,1,N,0,54
010928498C,9010928498,1,BF,BF,,1,1,1,N,0,22
010928507C,9010928507,4,BF,BF,,0,0,2,Y,0,22
010928775C,9010928775,4,BF,BF,,0,0,2,Y,0,22
010929235C,9010929235,9,BF,BF,PU,0,0,0,N,0,53
010929367C,9010929367,4,BF,BF,,0,0,2,Y,0,53
010929794C,9010929794,4,BF,BF,,0,0,2,Y,0,53
010929982C,9010929982,4,BF,BF,RU,3,3,3,N,0,53
010930278C,9010930278,4,BF,BF,,0,0,2,Y,0,57
010932886C,9010932886,0,BA,NF,LE,2,2,2,N,0,54
010933370C,9010933370,1,BF,BF,RU,3,3,3,N,0,53
010933488C,9010933488,1,BF,BF,,1,1,1,N,0,22
010934017C,9010934017,0,BA,NF,LE,2,2,2,N,0,44
010934894C,9010934894,4,BF,BF,ET,2,2,2,N,0,44
010934895C,9010934895,4,BF,BF,ET,2,2,2,N,0,44
010935366C,9010935366,1,BF,BF,,1,1,1,N,0,53
010935377C,9010935377,4,BF,BF,ET,2,2,2,N,0,55
010935469C,9010935469,9,BF,BF,PU,0,0,0,N,0,53
010935470C,9010935470,9,BF,BF,PU,0,0,0,N,0,53
010936178C,9010936178,4,BF,BF,,0,0,2,Y,0,22
010936179C,9010936179,0,BA,NF,LE,2,2,2,N,0,44
010936183C,9010936183,4,BF,BF,,0,0,2,Y,0,53
010936381C,9010936381,4,BF,BF,,0,0,2,Y,0,53
010936709C,9010936709,0,BA,NF,LE,2,2,2,N,0,44
010936713C,9010936713,4,BF,BF,,0,0,2,Y,0,53
010937087C,9010937087,4,BF,BF,ET,2,2,2,N,0,44
010937092C,9010937092,0,BA,NF,LE,2,2,2,N,0,44
010937735C,9010937735,4,BF,BF,,0,0,2,Y,0,54
010937739C,9010937739,0,BA,NF,LE,2,2,2,N,0,44
010938121C,9010938121,1,BF,BF,,1,1,1,N,0,22
010938321C,9010938321,1,BF,BF,,1,1,1,N,0,22
010938962C,9010938962,4,BF,BF,,0,0,2,Y,0,55
010939542C,9010939542,1,BF,BF,,1,1,1,N,0,55
010939731C,9010939731,4,BF,BF,,0,0,2,Y,0,53
010940594C,9010940594,4,BF,BF,,0,0,2,Y,0,53
010940855C,9010940855,0,BA,NF,,0,0,0,N,0,53
010941103C,9010941103,4,BF,BF,,0,0,2,Y,0,53
010942232C,9010942232,4,BF,BF,,0,0,2,Y,0,53
010942233C,9010942233,4,BF,BF,,0,0,2,Y,0,53
010942239C,9010942239,1,BF,BF,,1,1,1,N,0,53
010942246C,9010942246,1,BF,BF,,1,1,1,N,0,22
010942439C,9010942439,1,BF,BF,,1,1,1,N,0,55
010943847C,9010943847,4,BF,BF,,0,0,2,Y,0,22
010943849C,9010943849,4,BF,BF,,0,0,2,Y,0,22
010943851C,9010943851,4,BF,BF,ET,2,2,2,N,0,44
010944558C,9010944558,4,BF,BF,,0,0,2,Y,0,22
010945534C,9010945534,4,BF,BF,,0,0,2,Y,0,53
010946392C,9010946392,4,BF,BF,,0,0,2,Y,0,55
010946394C,9010946394,4,BF,BF,,0,0,2,Y,0,53
010946647C,9010946647,1,BF,BF,,1,1,1,N,0,22
010946649C,9010946649,4,BF,BF,,0,0,2,Y,0,53
010947021C,9010947021,4,BF,BF,,0,0,2,Y,0,53
010947226C,9010947226,4,BF,BF,ET,2,2,2,N,0,44
010947245C,9010947245,4,BF,BF,,0,0,2,Y,0,22
010947489C,9010947489,9,BF,BF,PU,0,0,0,N,0,55
010947866C,9010947866,4,BF,BF,,0,0,2,Y,0,53
010947867C,9010947867,4,BF,BF,RU,3,3,3,N,0,45
010947870C,9010947870,1,BF,BF,,1,1,1,N,0,22
010948195C,9010948195,4,BF,BF,,0,0,2,Y,0,53
010948241C,9010948241,4,BF,BF,,0,0,2,Y,0,22
010948270C,9010948270,9,BF,BF,PU,0,0,0,N,0,41
010948278C,9010948278,0,BA,NF,LE,2,2,2,N,0,44
010949295C,9010949295,4,BF,BF,,0,0,2,Y,0,53
010949672C,9010949672,4,BF,BF,ET,2,2,2,N,0,44
010950970C,9010950970,0,BA,NF,LE,2,2,2,N,0,44
010951159C,9010951159,4,BF,BF,,0,0,2,Y,0,22
010951456C,9010951456,4,BF,BF,,0,0,2,Y,0,22
010952064C,9010952064,4,BF,BF,,0,0,2,Y,0,22
010952069C,9010952069,4,BF,BF,,0,0,2,Y,0,53
010952366C,9010952366,4,BF,BF,,0,0,2,Y,0,22
010952369C,9010952369,4,BF,BF,,0,0,2,Y,0,53
010952386C,9010952386,0,BA,NF,LE,2,2,2,N,0,44
010953834C,9010953834,4,BF,BF,,0,0,2,Y,0,22
010954823C,9010954823,4,BF,BF,,0,0,2,Y,0,53
010955021C,9010955021,0,BA,NF,LE,2,2,2,N,0,44
010955034C,9010955034,1,BF,BF,,1,1,1,N,0,22
010955783C,9010955783,4,BF,BF,,0,0,2,Y,0,22
010956144C,9010956144,4,BF,BF,,0,0,2,Y,0,55
010956145C,9010956145,4,BF,BF,,0,0,2,Y,0,55
010956610C,9010956610,0,BA,NF,LE,2,2,2,N,0,54
010956992C,9010956992,1,BF,BF,,1,1,1,N,0,22
010957789C,9010957789,0,BA,NF,LE,2,2,2,N,0,54
010957790C,9010957790,0,BA,NF,LE,2,2,2,N,0,44
010958111C,9010958111,4,BF,BF,ET,2,2,2,N,0,53
010958268C,9010958268,1,BF,BF,,1,1,1,N,0,22
010958438C,9010958438,9,BF,BF,PU,0,0,0,N,0,55
010958446C,9010958446,4,BF,BF,,0,0,2,Y,0,53
010959100C,9010959100,1,BF,BF,,1,1,1,N,0,22
010959302C,9010959302,4,BF,BF,ET,2,2,2,N,0,53
010960586C,9010960586,0,BA,NF,,0,0,0,N,0,54
010960590C,9010960590,0,BA,NF,,0,0,0,N,0,53
010961712C,9010961712,1,BF,BF,,1,1,1,N,0,55
010961713C,9010961713,0,BA,NF,LE,2,2,2,N,0,44
010963046C,9010963046,4,BF,BF,,0,0,2,Y,0,53
010963588C,9010963588,1,BF,BF,,1,1,1,N,0,22
010965143C,9010965143,1,BF,BF,,1,1,1,N,0,53
010965145C,9010965145,4,BF,BF,,0,0,2,Y,0,55
010965984C,9010965984,4,BF,BF,,0,0,2,Y,0,55
010966767C,9010966767,4,BF,BF,,0,0,2,Y,0,53
010968283C,9010968283,1,BF,BF,ET,2,2,2,N,0,55
010968689C,9010968689,4,BF,BF,,0,0,2,Y,0,53
010968808C,9010968808,0,BA,NF,,0,0,0,N,0,53
010968811C,9010968811,0,BA,NF,LE,2,2,2,N,0,53
010968813C,9010968813,0,BA,NF,LE,2,2,2,N,0,54
010968814C,9010968814,0,BA,NF,LE,2,2,2,N,0,53
010968815C,9010968815,0,BA,NF,LE,2,2,2,N,0,53
010968816C,9010968816,0,BA,NF,LE,2,2,2,N,0,54
010968821C,9010968821,0,BA,NF,LE,2,2,2,N,0,54
010969153C,9010969153,4,BF,BF,,0,0,2,Y,0,53
010969227C,9010969227,9,BF,BF,PU,0,0,0,N,0,53
010969231C,9010969231,4,BF,BF,,0,0,2,Y,0,22
010969329C,9010969329,1,BF,BF,,1,1,1,N,0,22
010969653C,9010969653,4,BF,BF,,0,0,2,Y,0,22
010969839C,9010969839,0,BA,NF,LE,2,2,2,N,0,44
010970211C,9010970211,4,BF,BF,,0,0,2,Y,0,53
010971482C,9010971482,4,BF,BF,,0,0,2,Y,0,22
010971527C,9010971527,4,BF,BF,,0,0,2,Y,0,22
010971528C,9010971528,4,BF,BF,,0,0,2,Y,0,53
010971529C,9010971529,4,BF,BF,ET,2,2,2,N,0,55
010971538C,9010971538,1,BF,BF,,1,1,1,N,0,22
010971570C,9010971570,1,BF,BF,,1,1,1,N,0,22
010974048C,9010974048,4,BF,BF,,0,0,2,Y,0,55
010974140C,9010974140,9,BF,BF,PU,0,0,0,N,0,53
010974489C,9010974489,1,BF,BF,,1,1,1,N,0,22
010974838C,9010974838,9,BF,BF,PU,0,0,0,N,0,53
010974858C,9010974858,4,BF,BF,,0,0,2,Y,0,22
010975712C,9010975712,0,BA,NF,LE,2,2,2,N,0,54
010975741C,9010975741,9,BF,BF,PU,0,0,0,N,0,55
010975742C,9010975742,9,BF,BF,PU,0,0,0,N,0,41
010977876C,9010977876,9,BF,BF,PU,0,0,0,N,0,53
010978024C,9010978024,0,BA,NF,LE,2,2,2,N,0,44
010978232C,9010978232,4,BF,BF,,0,0,2,Y,0,22
010979005C,9010979005,4,BF,BF,,0,0,2,Y,0,22
010979717C,9010979717,4,BF,BF,ET,2,2,2,N,0,55
010979722C,9010979722,4,BF,BF,,0,0,2,Y,0,53
010980832C,9010980832,4,BF,BF,ET,2,2,2,N,0,44
010980833C,9010980833,1,BF,BF,ET,2,2,2,N,0,55
010980836C,9010980836,4,BF,BF,,0,0,2,Y,0,22
010981739C,9010981739,4,BF,BF,,0,0,2,Y,0,53
010983356C,9010983356,4,BF,BF,,0,0,2,Y,0,22
010983357C,9010983357,4,BF,BF,,0,0,2,Y,0,22
010983389C,9010983389,0,BA,NF,LE,2,2,2,N,0,44
010983828C,9010983828,4,BF,BF,,0,0,2,Y,0,53
010984316C,9010984316,4,BF,BF,,0,0,2,Y,0,53
010985184C,9010985184,4,BF,BF,,0,0,2,Y,0,53
010985217C,9010985217,0,BA,NF,LE,2,2,2,N,0,44
010985597C,9010985597,1,BF,BF,,1,1,1,N,0,55
010986137C,9010986137,4,BF,BF,,0,0,2,Y,0,53
010986419C,9010986419,4,BF,BF,,0,0,2,Y,0,22
010986434C,9010986434,4,BF,BF,,0,0,2,Y,0,53
010986699C,9010986699,1,BF,BF,,1,1,1,N,0,22
010987089C,9010987089,1,BF,BF,,1,1,1,N,0,22
010987095C,9010987095,1,BF,BF,,1,1,1,N,0,22
010987413C,9010987413,4,BF,BF,,0,0,2,Y,0,22
010987414C,9010987414,4,BF,BF,,0,0,2,Y,0,22
010987464C,9010987464,0,BA,NF,LE,2,2,2,N,0,54
010987611C,9010987611,1,BF,BF,,1,1,1,N,0,22
010988150C,9010988150,4,BF,BF,,0,0,2,Y,0,22
010988454C,9010988454,0,BA,NF,LE,2,2,2,N,0,53
010988538C,9010988538,0,BA,NF,,0,0,0,N,0,22
010988590C,9010988590,4,BF,BF,,0,0,2,Y,0,22
010988862C,9010988862,0,BA,NF,LE,2,2,2,N,0,44
010989073C,9010989073,1,BF,BF,,1,1,1,N,0,55
010989860C,9010989860,0,BA,NF,LE,2,2,2,N,0,44
010989913C,9010989913,4,BF,BF,,0,0,2,Y,0,53
010990148C,9010990148,4,BF,BF,,0,0,2,Y,0,53
010990850C,9010990850,4,BF,BF,,0,0,2,Y,0,22
010991108C,9010991108,1,BF,BF,,1,1,1,N,0,22
010991641C,9010991641,1,BF,BF,,1,1,1,N,0,55
010991643C,9010991643,1,BF,BF,,1,1,1,N,0,55
010991949C,9010991949,4,BF,BF,,0,0,2,Y,0,22
010991950C,9010991950,4,BF,BF,,0,0,2,Y,0,22
010992096C,9010992096,4,BF,BF,,0,0,2,Y,0,22
010992126C,9010992126,4,BF,BF,,0,0,2,Y,0,22
010992127C,9010992127,4,BF,BF,,0,0,2,Y,0,22
010992950C,9010992950,4,BF,BF,,0,0,2,Y,0,55
