QLA,MPHASE,MPLAN,MPHSTAT,BENEFIT_TYPE,BENEFIT_SEQ,MODE_PREMIUM,ANN_PREM_PER_UNIT,MPREM_CURRENT
010745811C,1,1658C1,53,BF          ,1,35.9,0.0,35.9
010746005C,1,1659CR,55,BF          ,1,179.35,0.0,179.35
010746173C,1,1659C2,22,BF          ,1,22.2,0.0,22.2
010746424C,1,1659CR,55,BF          ,1,188.1,0.0,188.1
010746498C,1,1658C1,53,BF          ,1,56.01,0.0,56.01
010746670C,1,1659C2,45,BF          ,1,97.33,0.0,97.33
010746844C,1,1659C2,22,BF          ,1,230.5,0.0,230.5
010746846C,1,1659C2,22,BF          ,1,271.0,0.0,271.0
010747013C,1,1659C2,22,BF          ,1,12.85,0.0,12.85
010747186C,1,1659C2,55,BF          ,1,847.0,0.0,847.0
010747241C,1,1659CR,53,BF          ,1,351.2,0.0,351.2
010747243C,1,1658C1,22,BF          ,1,28.86,0.0,28.86
010747437C,1,1658C1,22,BF          ,1,130.5,0.0,130.5
010747438C,1,1658C1,53,BF          ,1,59.4,0.0,59.4
010747636C,1,1659C2,22,BF          ,1,134.75,0.0,134.75
010747875C,1,1659C2,22,BF          ,1,53.08,0.0,53.08
010747876C,1,1659C2,22,BF          ,1,21.21,0.0,21.21
010748070C,1,1659CR,53,BF          ,1,155.75,0.0,155.75
010748253C,1,1659C2,22,BF          ,1,53.93,0.0,53.93
010748300C,1,1658C1,53,BF          ,1,32.71,0.0,32.71
010748334C,1,1659C2,22,BF          ,1,114.5,0.0,114.5
010748335C,1,1659C2,22,BF          ,1,164.5,0.0,164.5
010748404C,1,1659CR,53,BF          ,1,369.7,0.0,369.7
010748432C,1,1659CR,55,BF          ,1,40.63,0.0,40.63
010748517C,1,1659CR,53,BF          ,1,217.2,0.0,217.2
010748556C,1,1659C2,22,BF          ,1,121.0,0.0,121.0
010749038C,1,1659C2,22,BF          ,1,226.5,0.0,226.5
010749041C,1,1659C2,53,BF          ,1,12.5,0.0,12.5
010749053C,1,1659CR,53,BF          ,1,19.11,0.0,19.11
010749054C,1,1659CR,53,BF          ,1,197.35,0.0,197.35
010749401C,1,1659C2,22,BF          ,1,104.44,0.0,104.44
010749463C,1,1659C2,22,BF          ,1,321.5,0.0,321.5
010749628C,1,1659C2,45,BF          ,1,128.5,0.0,128.5
010749842C,1,1659C2,22,BF          ,1,263.0,0.0,263.0
010749843C,1,1659C2,22,BF          ,1,287.25,0.0,287.25
010749849C,1,1659C2,22,BF          ,1,112.75,0.0,112.75
010749942C,1,1659C2,22,BF          ,1,42.59,0.0,42.59
010749968C,1,1659CR,53,BF          ,1,163.2,0.0,163.2
010750754C,1,1659C2,55,BF          ,1,60.11,0.0,60.11
010751933C,1,1659C2,45,BF          ,1,445.96,0.0,445.96
010751934C,1,1659C2,45,BF          ,1,57.0,0.0,57.0
010752133C,1,1659C2,22,BF          ,1,46.95,0.0,46.95
010752138C,1,1659C2,22,BF          ,1,25.62,0.0,25.62
010752477C,1,1659C2,53,BF          ,1,340.2,0.0,340.2
010752513C,1,1659C2,55,BF          ,1,38.34,0.0,38.34
010752580C,1,1659C2,22,BF          ,1,238.5,0.0,238.5
010752698C,1,1658C1,22,BF          ,1,19.51,0.0,19.51
010752699C,1,1658C1,22,BF          ,1,19.17,0.0,19.17
010752703C,1,1659CR,53,BF          ,1,37.66,0.0,37.66
010752831C,1,1659C2,45,BF          ,1,8.83,0.0,8.83
010753311C,1,1659CR,53,BF          ,1,431.62,0.0,431.62
010753409C,1,1659C2,22,BF          ,1,121.0,0.0,121.0
010753675C,1,1659C2,55,BF          ,1,168.79,0.0,168.79
010753676C,1,1659C2,55,BF          ,1,138.08,0.0,138.08
010753687C,1,1659CR,53,BF          ,1,179.35,0.0,179.35
010754231C,1,1659C2,22,BF          ,1,18.83,0.0,18.83
010754233C,1,1659C2,22,BF          ,1,13.75,0.0,13.75
010754235C,1,1658C1,22,BF          ,1,21.52,0.0,21.52
010754355C,1,1659C2,45,BF          ,1,9.59,0.0,9.59
010754359C,1,1659C2,22,BF          ,1,390.25,0.0,390.25
010754485C,1,1659C2,22,BF          ,1,678.5,0.0,678.5
010754538C,1,1658C1,22,BF          ,1,19.69,0.0,19.69
010754539C,1,1658C1,22,BF          ,1,27.08,0.0,27.08
010754964C,1,1659CR,53,BF          ,1,119.65,0.0,119.65
010755152C,1,1659CR,22,BF          ,1,241.09,0.0,241.09
010755271C,1,1659C2,44,BF          ,1,159.5,0.0,159.5
010755495C,1,1659C2,22,BF          ,1,9.99,0.0,9.99
010755885C,1,1659C2,22,BF          ,1,181.0,0.0,181.0
010756020C,1,1659CR,53,BF          ,1,163.2,0.0,163.2
010756033C,1,1659CR,53,BF          ,1,197.35,0.0,197.35
010756212C,1,1659C2,55,BF          ,1,43.38,0.0,43.38
010756279C,1,1659C2,45,BF          ,1,78.96,0.0,78.96
010756442C,1,1659C2,44,BF          ,1,12.1,0.0,12.1
010756833C,1,1658C1,22,BF          ,1,116.5,0.0,116.5
010756895C,1,1659C2,22,BF          ,1,21.71,0.0,21.71
010756906C,1,1659C2,55,BF          ,1,44.95,0.0,44.95
010756909C,1,1659C2,22,BF          ,1,321.5,0.0,321.5
010756916C,1,1659C2,22,BF          ,1,329.25,0.0,329.25
010756926C,1,1659C2,45,BF          ,1,11.89,0.0,11.89
010756927C,1,1659C2,45,BF          ,1,13.27,0.0,13.27
010756928C,1,1659C2,22,BF          ,1,27.7,0.0,27.7
010756929C,1,1659C2,53,BF          ,1,32.89,0.0,32.89
010756931C,1,1659C2,53,BF          ,1,47.09,0.0,47.09
010756934C,1,1658C1,22,BF          ,1,11.11,0.0,11.11
010756937C,1,1658C1,22,BF          ,1,6.31,0.0,6.31
010756939C,1,1658C1,55,BF          ,1,6.64,0.0,6.64
010756940C,1,1658C1,55,BF          ,1,6.36,0.0,6.36
010756941C,1,1658C1,55,BF          ,1,6.49,0.0,6.49
010756972C,1,1659C2,22,BF          ,1,40.57,0.0,40.57
010757042C,1,1659CR,53,BF          ,1,206.95,0.0,206.95
010757071C,1,1659C2,22,BF          ,1,219.4,0.0,219.4
010757392C,1,1659C2,44,BF          ,1,24.93,0.0,24.93
010757508C,1,1659CR,45,BF          ,1,13.71,0.0,13.71
010757536C,1,1659CR,53,BF          ,1,19.11,0.0,19.11
010757551C,1,1659CR,53,BF          ,1,15.78,0.0,15.78
010757553C,1,1659CR,22,BF          ,1,30.91,0.0,30.91
010757561C,1,1659C2,45,BF          ,1,4.48,0.0,4.48
010757606C,1,1659C2,45,BF          ,1,65.95,0.0,65.95
010757607C,1,1659C2,22,BF          ,1,115.75,0.0,115.75
010757801C,1,1659C2,22,BF          ,1,537.4,0.0,537.4
010757817C,1,1659CR,53,BF          ,1,61.53,0.0,61.53
010757826C,1,1658C1,22,BF          ,1,71.25,0.0,71.25
010757827C,1,1658C1,22,BF          ,1,70.75,0.0,70.75
010757840C,1,1659C2,22,BF          ,1,355.25,0.0,355.25
010758074C,1,1659CR,53,BF          ,1,171.05,0.0,171.05
010758447C,1,1659C2,45,BF          ,1,29.87,0.0,29.87
010758520C,1,1659CR,57,BF          ,1,0.0,0.0,0.0
010758538C,1,1659C2,45,BF          ,1,15.66,0.0,15.66
010758549C,1,1659CR,53,BF          ,1,268.48,0.0,268.48
010758550C,1,1659CR,22,BF          ,1,218.48,0.0,218.48
010758940C,1,1659C2,44,BF          ,1,112.75,0.0,112.75
010759008C,1,1659C2,22,BF          ,1,154.75,0.0,154.75
010759357C,1,1659CR,53,BF          ,1,188.1,0.0,188.1
010759385C,1,1659CR,22,BF          ,1,179.35,0.0,179.35
010759529C,1,1659C2,45,BF          ,1,892.5,0.0,892.5
010759537C,1,1659C2,55,BF          ,1,23.99,0.0,23.99
010759541C,1,1659C2,22,BF          ,1,296.0,0.0,296.0
010759548C,1,1659C2,22,BF          ,1,125.75,0.0,125.75
010759552C,1,1659C2,22,BF          ,1,131.5,0.0,131.5
010759555C,1,1659C2,22,BF          ,1,21.71,0.0,21.71
010759559C,1,1659CR,53,BF          ,1,46.18,0.0,46.18
010759705C,1,1658C1,22,BF          ,1,44.25,0.0,44.25
010760069C,1,1659C2,45,BF          ,1,32.67,0.0,32.67
010760160C,1,1659C2,22,BF          ,1,305.8,0.0,305.8
010760294C,1,1659C2,53,BF          ,1,31.3,0.0,31.3
010760295C,1,1659C2,22,BF          ,1,214.25,0.0,214.25
010760296C,1,1659C2,22,BF          ,1,27.7,0.0,27.7
010760297C,1,1659C2,53,BF          ,1,57.24,0.0,57.24
010760298C,1,1659C2,22,BF          ,1,458.75,0.0,458.75
010760304C,1,1659C2,45,BF          ,1,17.92,0.0,17.92
010760306C,1,1659C2,55,BF          ,1,25.27,0.0,25.27
010760306C,2,1659C2,56,SL          ,2,0.0,0.0,0.0
010760840C,1,1659C2,22,BF          ,1,358.2,0.0,358.2
010760865C,1,1659CR,53,BF          ,1,281.98,0.0,281.98
010760872C,1,1659CR,53,BF          ,1,511.96,0.0,511.96
010760874C,1,1659C2,22,BF          ,1,225.4,0.0,225.4
010760931C,1,1658C1,22,BF          ,1,13.35,0.0,13.35
010760942C,1,1659CR,55,BF          ,1,14.36,0.0,14.36
010760943C,1,1659C2,22,BF          ,1,517.0,0.0,517.0
010761092C,1,1659C2,44,BF          ,1,169.75,0.0,169.75
010761357C,1,1659CR,22,BF          ,1,17.37,0.0,17.37
010761552C,1,1659C2,22,BF          ,1,17.78,0.0,17.78
010761554C,1,1659C2,45,BF          ,1,48.86,0.0,48.86
010761635C,1,1659C2,22,BF          ,1,44.18,0.0,44.18
010761653C,1,1659C2,22,BF          ,1,17.01,0.0,17.01
010761674C,1,1659C2,22,BF          ,1,17.58,0.0,17.58
010761804C,1,1659CR,57,BF          ,1,23.16,0.0,23.16
010761870C,1,1659C2,55,BF          ,1,150.25,0.0,150.25
010761882C,1,1659CR,53,BF          ,1,548.0,0.0,548.0
010761885C,1,1659C2,22,BF          ,1,314.75,0.0,314.75
010761913C,1,1659C2,45,BF          ,1,144.79,0.0,144.79
010761943C,1,1659CR,45,BF          ,1,577.8,0.0,577.8
010762047C,1,1659C2,22,BF          ,1,17.01,0.0,17.01
010762076C,1,1659C2,44,BF          ,1,181.0,0.0,181.0
010762079C,1,1659C2,22,BF          ,1,199.75,0.0,199.75
010762319C,1,1659C2,53,BF          ,1,199.75,0.0,199.75
010762332C,1,1659C2,55,BF          ,1,10.19,0.0,10.19
010762558C,1,1659C2,45,BF          ,1,14.48,0.0,14.48
010762559C,1,1659C2,45,BF          ,1,13.22,0.0,13.22
010762560C,1,1659C2,45,BF          ,1,11.07,0.0,11.07
010762678C,1,1659CR,45,BF          ,1,479.47,0.0,479.47
010763006C,1,1659C2,53,BF          ,1,424.6,0.0,424.6
010763012C,1,1659CR,55,BF          ,1,188.1,0.0,188.1
010763063C,1,1659C2,22,BF          ,1,28.08,0.0,28.08
010763377C,1,1659C2,22,BF          ,1,32.67,0.0,32.67
010763378C,1,1659C2,22,BF          ,1,121.0,0.0,121.0
010763416C,1,1658C1,22,BF          ,1,6.64,0.0,6.64
010763450C,1,1659CR,53,BF          ,1,188.1,0.0,188.1
010764120C,1,1659CR,53,BF          ,1,260.35,0.0,260.35
010764121C,1,1659CR,53,BF          ,1,367.64,0.0,367.64
010764124C,1,1659C2,45,BF          ,1,16.46,0.0,16.46
010764319C,1,1659C2,22,BF          ,1,154.75,0.0,154.75
010764321C,1,1659C2,44,BF          ,1,39.42,0.0,39.42
010764322C,1,1659C2,22,BF          ,1,31.5,0.0,31.5
010764339C,1,1659C2,53,BF          ,1,74.1,0.0,74.1
010764341C,1,1659C2,22,BF          ,1,14.04,0.0,14.04
010764348C,1,1659CR,53,BF          ,1,54.89,0.0,54.89
010764368C,1,1659C2,22,BF          ,1,609.4,0.0,609.4
010764369C,1,1659C2,22,BF          ,1,350.2,0.0,350.2
010764374C,1,1659CR,53,BF          ,1,260.35,0.0,260.35
010764376C,1,1659C2,53,BF          ,1,31.79,0.0,31.79
010764379C,1,1659C2,22,BF          ,1,15.62,0.0,15.62
010764385C,1,1659CR,55,BF          ,1,256.53,0.0,256.53
010764392C,1,1659C2,22,BF          ,1,19.56,0.0,19.56
010764684C,1,1659C2,22,BF          ,1,128.5,0.0,128.5
010764812C,1,1659CR,53,BF          ,1,388.9,0.0,388.9
010764818C,1,1659C2,22,BF          ,1,193.25,0.0,193.25
010764834C,1,1659CR,53,BF          ,1,426.76,0.0,426.76
010764842C,1,1659CR,53,BF          ,1,179.35,0.0,179.35
010765068C,1,1658C1,22,BF          ,1,36.38,0.0,36.38
010765198C,1,1659CR,22,BF          ,1,492.36,0.0,492.36
010765318C,1,1659C2,22,BF          ,1,248.2,0.0,248.2
010765320C,1,1659C2,22,BF          ,1,305.25,0.0,305.25
010765337C,1,1659C2,22,BF          ,1,16.12,0.0,16.12
010765339C,1,1659C2,22,BF          ,1,894.25,0.0,894.25
010765429C,1,1659C2,22,BF          ,1,1184.0,0.0,1184.0
010765931C,1,1659C2,22,BF          ,1,17.78,0.0,17.78
010765936C,1,1659C2,22,BF          ,1,39.78,0.0,39.78
010766057C,1,1659C2,55,BF          ,1,28.72,0.0,28.72
010766060C,1,1659C2,22,BF          ,1,12.85,0.0,12.85
010766062C,1,1658C1,22,BF          ,1,36.12,0.0,36.12
010766284C,1,1659C2,44,BF          ,1,18.44,0.0,18.44
010766527C,1,1659CR,57,BF          ,1,0.0,0.0,0.0
010766554C,1,1659C2,22,BF          ,1,279.25,0.0,279.25
010766671C,1,1658C1,22,BF          ,1,25.3,0.0,25.3
010766679C,1,1659CR,44,BF          ,1,217.2,0.0,217.2
010766847C,1,1659C2,45,BF          ,1,28.29,0.0,28.29
010766896C,1,1659C2,22,BF          ,1,26.46,0.0,26.46
010766898C,1,1659C2,22,BF          ,1,321.5,0.0,321.5
010766910C,1,1659CR,53,BF          ,1,333.7,0.0,333.7
010766920C,1,1659CR,22,BF          ,1,26.31,0.0,26.31
010766921C,1,1659C2,22,BF          ,1,39.88,0.0,39.88
010767172C,1,1659C2,22,BF          ,1,1024.0,0.0,1024.0
010767222C,1,1659C2,22,BF          ,1,321.5,0.0,321.5
010767719C,1,1659CR,55,BF          ,1,227.9,0.0,227.9
010767768C,1,1659C2,22,BF          ,1,271.0,0.0,271.0
010767770C,1,1659C2,22,BF          ,1,128.5,0.0,128.5
010767772C,1,1659C2,22,BF          ,1,53.08,0.0,53.08
010767776C,1,1659C2,22,BF          ,1,31.58,0.0,31.58
010768069C,1,1659CR,53,BF          ,1,188.1,0.0,188.1
010768207C,1,1658C1,53,BF          ,1,16.7,0.0,16.7
010768208C,1,1659C2,55,BF          ,1,123.25,0.0,123.25
010768209C,1,1659C2,55,BF          ,1,128.5,0.0,128.5
010768384C,1,1658C1,22,BF          ,1,37.53,0.0,37.53
010768385C,1,1658C1,22,BF          ,1,89.37,0.0,89.37
010768503C,1,1659CR,53,BF          ,1,103.61,0.0,103.61
010768629C,1,1659CR,53,BF          ,1,206.95,0.0,206.95
010768635C,1,1658C1,53,BF          ,1,33.69,0.0,33.69
010768997C,1,1659CR,55,BF          ,1,289.55,0.0,289.55
010769001C,1,1659C2,90,BF          ,1,164.5,0.0,164.5
010769032C,1,1659CR,53,BF          ,1,643.5,0.0,643.5
010769176C,1,1659CR,53,BF          ,1,369.7,0.0,369.7
010769184C,1,1659CR,55,BF          ,1,28.43,0.0,28.43
010769190C,1,1659C2,22,BF          ,1,175.25,0.0,175.25
010769191C,1,1659C2,22,BF          ,1,26.43,0.0,26.43
010769198C,1,1659CR,22,BF          ,1,25.16,0.0,25.16
010769220C,1,1659CR,55,BF          ,1,50.73,0.0,50.73
010769221C,1,1659CR,55,BF          ,1,47.03,0.0,47.03
010769227C,1,1659C2,53,BF          ,1,390.25,0.0,390.25
010769232C,1,1659C2,22,BF          ,1,343.25,0.0,343.25
010769233C,1,1659C2,22,BF          ,1,181.0,0.0,181.0
010769345C,1,1659C2,22,BF          ,1,112.75,0.0,112.75
010769554C,1,1659C2,22,BF          ,1,26.86,0.0,26.86
010769606C,1,1659C2,22,BF          ,1,373.75,0.0,373.75
010769711C,1,1659C2,22,BF          ,1,254.88,0.0,254.88
010770062C,1,1659CR,22,BF          ,1,317.1,0.0,317.1
010770571C,1,1658C1,53,BF          ,1,96.86,0.0,96.86
010770572C,1,1658C1,22,BF          ,1,56.9,0.0,56.9
010770580C,2,1659CR,56,SL          ,2,18.91,0.0,18.91
010770719C,1,1659C2,55,BF          ,1,74.1,0.0,74.1
010770720C,1,1658C1,22,BF          ,1,10.87,0.0,10.87
010770721C,1,1658C1,22,BF          ,1,30.76,0.0,30.76
010770722C,1,1658C1,22,BF          ,1,11.35,0.0,11.35
010770865C,1,1659CR,55,BF          ,1,306.04,0.0,306.04
010770904C,1,1659C2,22,BF          ,1,32.67,0.0,32.67
010771065C,1,1658C1,22,BF          ,1,6.16,0.0,6.16
010771070C,1,1659CR,22,BF          ,1,272.4,0.0,272.4
010771339C,1,1659C2,22,BF          ,1,912.0,0.0,912.0
010771349C,1,1659CR,22,BF          ,1,26.52,0.0,26.52
010771352C,1,1659CR,53,BF          ,1,23.43,0.0,23.43
010771532C,1,1659C2,22,BF          ,1,390.25,0.0,390.25
010771580C,1,1659CR,53,BF          ,1,793.8,0.0,793.8
010771588C,1,1659C2,55,BF          ,1,92.68,0.0,92.68
010771654C,1,1659CR,53,BF          ,1,20.44,0.0,20.44
010771658C,1,1659C2,22,BF          ,1,28.64,0.0,28.64
010771662C,1,1659CR,53,BF          ,1,67.89,0.0,67.89
010771662C,2,1659CR,56,SL          ,2,0.0,0.0,0.0
010771679C,1,1659C2,22,BF          ,1,42.59,0.0,42.59
010771763C,1,1659CR,22,BF          ,1,13.71,0.0,13.71
010771832C,1,1659C2,22,BF          ,1,343.25,0.0,343.25
010771833C,1,1659C2,22,BF          ,1,458.75,0.0,458.75
010772297C,1,1659C2,22,BF          ,1,22.42,0.0,22.42
010772298C,1,1659C2,22,BF          ,1,27.7,0.0,27.7
010772668C,1,1659CR,57,BF          ,1,0.0,0.0,0.0
010772683C,1,1659CR,53,BF          ,1,217.2,0.0,217.2
010772840C,1,1659C2,55,BF          ,1,34.39,0.0,34.39
010772898C,1,1659C2,55,BF          ,1,458.75,0.0,458.75
010772915C,1,1659CR,55,BF          ,1,23.43,0.0,23.43
010772916C,1,1659C2,55,BF          ,1,42.22,0.0,42.22
010773088C,1,1659CR,53,BF          ,1,476.8,0.0,476.8
010773107C,1,1659CR,55,BF          ,1,259.2,0.0,259.2
010773109C,1,1659C2,55,BF          ,1,46.8,0.0,46.8
010773109C,3,1659C2,56,SL          ,3,0.0,0.0,0.0
010773243C,1,1659CR,57,BF          ,1,78.18,0.0,78.18
010773267C,1,1659C2,55,BF          ,1,14.94,0.0,14.94
010773468C,1,1659CR,22,BF          ,1,179.35,0.0,179.35
010773573C,1,1659C2,55,BF          ,1,226.5,0.0,226.5
010773682C,1,1659C2,22,BF          ,1,201.67,0.0,201.67
010773856C,1,1659CR,55,BF          ,1,287.02,0.0,287.02
010773882C,1,1659C2,22,BF          ,1,633.5,0.0,633.5
010774107C,1,1659C2,55,BF          ,1,34.39,0.0,34.39
010774109C,1,1659CR,53,BF          ,1,197.35,0.0,197.35
010774328C,1,1658C1,22,BF          ,1,35.24,0.0,35.24
010774329C,1,1658C1,22,BF          ,1,23.9,0.0,23.9
010774484C,1,1659C2,53,BF          ,1,68.97,0.0,68.97
010774490C,1,1659C2,22,BF          ,1,246.75,0.0,246.75
010774643C,1,1659C2,22,BF          ,1,10.85,0.0,10.85
010774644C,1,1659C2,22,BF          ,1,11.86,0.0,11.86
010774772C,1,1659C2,22,BF          ,1,448.0,0.0,448.0
010774773C,1,1659C2,53,BF          ,1,604.5,0.0,604.5
010774793C,1,1659C2,22,BF          ,1,29.89,0.0,29.89
010774794C,1,1659CR,57,BF          ,1,0.0,0.0,0.0
010774795C,1,1659C2,22,BF          ,1,26.2,0.0,26.2
010774868C,1,1659C2,45,BF          ,1,579.0,0.0,579.0
010774973C,1,1659C2,22,BF          ,1,175.25,0.0,175.25
010775239C,1,1659C2,22,BF          ,1,46.11,0.0,46.11
010775244C,1,1659C2,22,BF          ,1,642.5,0.0,642.5
010775323C,1,1659CR,53,BF          ,1,281.98,0.0,281.98
010775418C,1,1659C2,22,BF          ,1,238.5,0.0,238.5
010775583C,1,1659C2,22,BF          ,1,17.01,0.0,17.01
010775722C,1,1659C2,22,BF          ,1,134.75,0.0,134.75
010775723C,1,1659C2,22,BF          ,1,123.25,0.0,123.25
010775940C,1,1658C1,44,BF          ,1,23.76,0.0,23.76
010776002C,1,1659C2,45,BF          ,1,57.67,0.0,57.67
010776005C,1,1659C2,22,BF          ,1,40.61,0.0,40.61
010776007C,1,1659C2,22,BF          ,1,34.85,0.0,34.85
010776025C,1,1659C2,44,BF          ,1,12.72,0.0,12.72
010776061C,1,1659C2,44,BF          ,1,36.72,0.0,36.72
010776062C,1,1659C2,44,BF          ,1,36.72,0.0,36.72
010776157C,1,1659C2,53,BF          ,1,173.75,0.0,173.75
010776442C,1,1659C2,53,BF          ,1,271.0,0.0,271.0
010776445C,1,1659C2,53,BF          ,1,753.7,0.0,753.7
010776450C,1,1659C2,55,BF          ,1,298.75,0.0,298.75
010776502C,1,1659C2,22,BF          ,1,169.75,0.0,169.75
010776555C,1,1659CR,53,BF          ,1,553.8,0.0,553.8
010776672C,1,1659CR,53,BF          ,1,217.2,0.0,217.2
010776811C,1,1658C1,22,BF          ,1,14.12,0.0,14.12
010776812C,1,1658C1,22,BF          ,1,113.5,0.0,113.5
010776813C,1,1659CR,22,BF          ,1,171.05,0.0,171.05
010776814C,1,1659CR,53,BF          ,1,250.9,0.0,250.9
010776831C,1,1659C2,22,BF          ,1,661.65,0.0,661.65
010776832C,1,1659C2,22,BF          ,1,430.65,0.0,430.65
010776900C,1,1659C2,22,BF          ,1,206.75,0.0,206.75
010776908C,1,1659CR,55,BF          ,1,50.85,0.0,50.85
010777042C,1,1658C1,22,BF          ,1,6.09,0.0,6.09
010777043C,1,1658C1,53,BF          ,1,6.36,0.0,6.36
010777059C,1,1659C2,22,BF          ,1,502.0,0.0,502.0
010777124C,1,1659CR,53,BF          ,1,13.09,0.0,13.09
010777133C,1,1659CR,22,BF          ,1,43.62,0.0,43.62
010777439C,1,1659C2,44,BF          ,1,121.0,0.0,121.0
010777501C,1,1659CR,45,BF          ,1,160.8,0.0,160.8
010777546C,1,1659CR,53,BF          ,1,34.86,0.0,34.86
010777662C,1,1659C2,22,BF          ,1,49.9,0.0,49.9
010777665C,1,1659C2,22,BF          ,1,48.36,0.0,48.36
010777788C,1,1659CR,53,BF          ,1,359.33,0.0,359.33
010777793C,1,1659CR,53,BF          ,1,309.06,0.0,309.06
010778142C,1,1659CR,53,BF          ,1,227.9,0.0,227.9
010778262C,1,1659CR,53,BF          ,1,197.35,0.0,197.35
010778299C,1,1659CR,53,BF          ,1,163.2,0.0,163.2
010778303C,1,1659C2,22,BF          ,1,32.13,0.0,32.13
010778304C,1,1659C2,22,BF          ,1,33.95,0.0,33.95
010778381C,1,1659C2,45,BF          ,1,502.0,0.0,502.0
010778464C,1,1659CR,22,BF          ,1,423.14,0.0,423.14
010778519C,1,1659C2,53,BF          ,1,56.91,0.0,56.91
010778635C,1,1659C2,53,BF          ,1,522.0,0.0,522.0
010778653C,1,1659C2,22,BF          ,1,287.25,0.0,287.25
010778697C,1,1658C1,22,BF          ,1,31.79,0.0,31.79
010778702C,1,1659CR,55,BF          ,1,16.55,0.0,16.55
010778707C,1,1659C2,22,BF          ,1,47.59,0.0,47.59
010778834C,1,1659CR,53,BF          ,1,48.42,0.0,48.42
010778841C,1,1659CR,53,BF          ,1,23.16,0.0,23.16
010778913C,1,1659CR,53,BF          ,1,332.52,0.0,332.52
010778914C,1,1659CR,53,BF          ,1,276.1,0.0,276.1
010779031C,1,1659C2,22,BF          ,1,626.0,0.0,626.0
010779034C,1,1658C1,22,BF          ,1,55.13,0.0,55.13
010779074C,1,1659CR,55,BF          ,1,677.4,0.0,677.4
010779130C,1,1659CR,53,BF          ,1,144.95,0.0,144.95
010779191C,1,1659C2,53,BF          ,1,407.5,0.0,407.5
010779197C,1,1659CR,53,BF          ,1,26.54,0.0,26.54
010779551C,1,1659C2,22,BF          ,1,138.25,0.0,138.25
010779563C,1,1659C2,22,BF          ,1,68.99,0.0,68.99
010779718C,1,1659C2,22,BF          ,1,34.34,0.0,34.34
010779719C,1,1659C2,22,BF          ,1,26.05,0.0,26.05
010779720C,1,1659C2,22,BF          ,1,12.5,0.0,12.5
010779727C,1,1658C1,22,BF          ,1,2930.75,0.0,2930.75
010779736C,1,1659CR,53,BF          ,1,32.53,0.0,32.53
010779847C,1,1659C2,22,BF          ,1,17.64,0.0,17.64
010779912C,1,1659C2,45,BF          ,1,50.25,0.0,50.25
010780000C,1,1659CR,53,BF          ,1,16.01,0.0,16.01
010780003C,1,1659CR,53,BF          ,1,231.82,0.0,231.82
010780046C,1,1659C2,22,BF          ,1,9.99,0.0,9.99
010780050C,1,1659C2,53,BF          ,1,66.22,0.0,66.22
010780131C,1,1659CR,55,BF          ,1,188.1,0.0,188.1
010780205C,1,1659CR,22,BF          ,1,19.92,0.0,19.92
010780206C,1,1659CR,22,BF          ,1,30.09,0.0,30.09
010780393C,1,1659C2,22,BF          ,1,159.5,0.0,159.5
010780403C,1,1659CR,53,BF          ,1,752.8,0.0,752.8
010780408C,1,1659C2,55,BF          ,1,15.99,0.0,15.99
010780411C,1,1659CR,53,BF          ,1,317.1,0.0,317.1
010780510C,1,1659C2,22,BF          ,1,373.75,0.0,373.75
010780526C,1,1658C1,22,BF          ,1,44.76,0.0,44.76
010780597C,1,1659C2,55,BF          ,1,78.3,0.0,78.3
010780667C,1,1659C2,55,BF          ,1,42.21,0.0,42.21
010780668C,1,1659C2,55,BF          ,1,35.77,0.0,35.77
010780791C,1,1659CR,53,BF          ,1,272.4,0.0,272.4
010780870C,1,1659C2,45,BF          ,1,42.21,0.0,42.21
010781047C,1,1659C2,22,BF          ,1,108.16,0.0,108.16
010781117C,1,1659CR,53,BF          ,1,297.93,0.0,297.93
010781128C,1,1659C2,22,BF          ,1,357.08,0.0,357.08
010781300C,1,1659C2,22,BF          ,1,43.07,0.0,43.07
010781368C,1,1659C2,55,BF          ,1,304.0,0.0,304.0
010781702C,1,1659C2,22,BF          ,1,123.25,0.0,123.25
010781713C,1,1659C2,55,BF          ,1,678.5,0.0,678.5
010781721C,1,1659C2,45,BF          ,1,9.07,0.0,9.07
010781775C,1,1659CR,45,BF          ,1,14.66,0.0,14.66
010781863C,1,1659CR,53,BF          ,1,23.97,0.0,23.97
010782018C,1,1659C2,53,BF          ,1,39.49,0.0,39.49
010782022C,1,1658C1,55,BF          ,1,18.52,0.0,18.52
010782063C,1,1659C2,22,BF          ,1,16.46,0.0,16.46
010782064C,1,1659C2,22,BF          ,1,164.5,0.0,164.5
010782078C,2,1659C2,22,SL          ,2,8.05,0.0,8.05
010782192C,1,1659C2,55,BF          ,1,14.04,0.0,14.04
010782332C,1,1659C2,22,BF          ,1,131.5,0.0,131.5
010782357C,1,1659CR,53,BF          ,1,27.9,0.0,27.9
010782571C,1,1659C2,22,BF          ,1,75.4,0.0,75.4
010782592C,1,1659CR,53,BF          ,1,290.24,0.0,290.24
010782640C,1,1659C2,22,BF          ,1,164.5,0.0,164.5
010782671C,1,1659CR,22,BF          ,1,59.61,0.0,59.61
010782675C,1,1659C2,55,BF          ,1,32.69,0.0,32.69
010782676C,1,1659C2,55,BF          ,1,44.18,0.0,44.18
010782818C,1,1658C1,54,BF          ,1,57.13,0.0,57.13
