output_plan,lifepro_coverage_id,target_field,current_output_value,crosswalk_authoritative_value,lifepro_source_value,current_logic_authority,recommended_authority,alignment_status,conflict_flag,governance_action
5667AT,667 ART,PLAN,5667AT,,667 ART,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
5667AT,667 ART,FORM,667,667 ART,667,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
5667AT,667 ART,DESCR,ANNUAL RENEWABLE TERM,Annual Renewable Term,Annual Renewable Term,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
5667AT,667 ART,PLANNAME,ANNUAL RENEWABLE TERM,Annual Renewable Term,Annual Renewable Term,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
667 ART CR,667 ART CR,PLAN,667 ART CR,57ATCR,667 ART CR,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
667 ART CR,667 ART CR,FORM,667,667 ART CR,667,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
667 ART CR,667 ART CR,DESCR,ART PREFERRED CREDIT LIFE,ART Preferred Credit Life,ART Preferred Credit Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
667 ART CR,667 ART CR,PLANNAME,ART PREFERRED CREDIT LIFE,ART Preferred Credit Life,ART Preferred Credit Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
1668SP,668 SPWL,PLAN,1668SP,,668 SPWL,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1668SP,668 SPWL,FORM,668,668 SPWL,668,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1668SP,668 SPWL,DESCR,SINGLE PREMIUM WHOLE LIFE,Single Premium Whole Life,Single Premium Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1668SP,668 SPWL,PLANNAME,SINGLE PREMIUM WHOLE LIFE,Single Premium Whole Life,Single Premium Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
669 SR GD,669 SR GD,PLAN,669 SR GD,1669SR,669 SR GD,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
669 SR GD,669 SR GD,FORM,659,669 SR GD,659,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
669 SR GD,669 SR GD,DESCR,INTEREST-SENSITIVE WHOLE LIFE,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
669 SR GD,669 SR GD,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
170858,670 GL85-8,PLAN,170858,,670 GL85-8,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
170858,670 GL85-8,FORM,960,670 GL85-8,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
170858,670 GL85-8,DESCR,LIFE PAID UP AT 85/88,Life Paid Up at 85/88,Life Paid Up at 85/88,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
170858,670 GL85-8,PLANNAME,LIFE PAID UP AT 85/88,Life Policy - Paid Up M Age 85 F Age 88,Life Paid Up at 85/88,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
170588,670 GL8588,PLAN,170588,,670 GL8588,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
170588,670 GL8588,FORM,960,670 GL8588,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
170588,670 GL8588,DESCR,LIFE PAID UP AT 85/88,Life Paid Up at 85/88,Life Paid Up at 85/88,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
170588,670 GL8588,PLANNAME,LIFE PAID UP AT 85/88,Life Policy - Paid Up M Age 85 F Age 88,Life Paid Up at 85/88,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
17085M,670 GL85-M,PLAN,17085M,,670 GL85-M,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
17085M,670 GL85-M,FORM,960,670 GL85-M,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
17085M,670 GL85-M,DESCR,LIFE PAID UP AT 85/88,Life Paid Up at 85/88,Life Paid Up at 85/88,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
17085M,670 GL85-M,PLANNAME,LIFE PAID UP AT 85/88,Life Policy - Paid Up M Age 85 F Age 88,Life Paid Up at 85/88,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
170PUA,670 PUA,PLAN,170PUA,,670 PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
170PUA,670 PUA,FORM,960,670 PUA,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
170PUA,670 PUA,DESCR,PAID UP ADDS - LIFE PAID UP AT 85/88,Paid Up Adds - Life Paid Up at 85/88,Paid Up Adds - Life Paid Up at 85/88,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
170PUA,670 PUA,PLANNAME,PAID UP ADDS - LIFE PAID UP AT 85/88,"PUAs for 670 GL 8588, 85-8, 85-M",Paid Up Adds - Life Paid Up at 85/88,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1679CS,679 CEN SD,PLAN,1679CS,,679 CEN SD,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1679CS,679 CEN SD,FORM,679,679 CEN SD,679,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1679CS,679 CEN SD,DESCR,INTEREST-SENSITIVE WHOLE LIFE,Interest-Sensitive Whole Life,Interest-Sensitive Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1679CS,679 CEN SD,PLANNAME,INTEREST-SENSITIVE WHOLE LIFE,"Choice Plus: Van Prem, Empl Spon, Loans",Interest-Sensitive Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
686S 30MRG,686S 30MRG,PLAN,686S 30MRG,7686S3,686S 30MRG,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
686S 30MRG,686S 30MRG,FORM,686,686S 30MRG,686,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
686S 30MRG,686S 30MRG,DESCR,DECREASING TERM LIFE,Decreasing Term Life,Decreasing Term Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
686S 30MRG,686S 30MRG,PLANNAME,DECREASING TERM LIFE,Decreasing Term Life,Decreasing Term Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
687J 30MRG,687J 30MRG,PLAN,687J 30MRG,7687J3,687J 30MRG,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
687J 30MRG,687J 30MRG,FORM,687,687J 30MRG,687,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
687J 30MRG,687J 30MRG,DESCR,JOINT DECREASING TERM LIFE,Joint Decreasing Term Life,Joint Decreasing Term Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
687J 30MRG,687J 30MRG,PLANNAME,JOINT DECREASING TERM LIFE,Joint Decreasing Term Life,Joint Decreasing Term Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
690 DT 65,690 DT 65,PLAN,690 DT 65,7690DT,690 DT 65,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
690 DT 65,690 DT 65,FORM,690,690 DT 65,690,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
690 DT 65,690 DT 65,DESCR,DEC TERM TO 65 CONVERTIBLE,Dec Term to 65 Convertible,Dec Term to 65 Convertible,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
690 DT 65,690 DT 65,PLANNAME,DEC TERM TO 65 CONVERTIBLE,Dec Term to 65 Convertible,Dec Term to 65 Convertible,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
8034 30MRG,8034 30MRG,PLAN,8034 30MRG,934SWP,8034 30MRG,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
8034 30MRG,8034 30MRG,FORM,8034,8034 30MRG,8034,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
8034 30MRG,8034 30MRG,DESCR,DISABILITY WAIVER OF PREMIUM 30MRG,Disability Waiver of Premium 30MRG,Disability Waiver of Premium 30MRG,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
8034 30MRG,8034 30MRG,PLANNAME,DISABILITY WAIVER OF PREMIUM 30MRG,Disability Waiver of Premium 30MRG,Disability Waiver of Premium 30MRG,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
8034 J30MT,8034 J30MT,PLAN,8034 J30MT,934JWP,8034 J30MT,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
8034 J30MT,8034 J30MT,FORM,8034,8034 J30MT,8034,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
8034 J30MT,8034 J30MT,DESCR,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,Disability Waiver of Premium Joint 30 MT,Disability Waiver of Premium Joint 30 MT,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
8034 J30MT,8034 J30MT,PLANNAME,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,Disability Waiver of Premium Joint 30 MT,Disability Waiver of Premium Joint 30 MT,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
542STR,8042 STR,PLAN,542STR,,8042 STR,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
542STR,8042 STR,FORM,8042,8042 STR,8042,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
542STR,8042 STR,DESCR,SPOUSE TERM RIDER,Spouse Term Rider,Spouse Term Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
542STR,8042 STR,PLANNAME,SPOUSE TERM RIDER,Spouse Term Rider - 658 CEN I,Spouse Term Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9STRWP,8042STR WP,PLAN,9STRWP,,8042STR WP,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9STRWP,8042STR WP,FORM,,8042STR WP,NA,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9STRWP,8042STR WP,DESCR,8042 STR WAIVER OF PREMIUM,8042 STR Waiver of Premium,8042 STR Waiver of Premium,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9STRWP,8042STR WP,PLANNAME,8042 STR WAIVER OF PREMIUM,STR Waiver of Premium - 658 CEN I,8042 STR Waiver of Premium,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
543CTR,8043 CTR,PLAN,543CTR,,8043 CTR,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
543CTR,8043 CTR,FORM,8043,8043 CTR,8043,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
543CTR,8043 CTR,DESCR,DEPENDENT CHILD TERM RIDER,Dependent Child Term Rider,Dependent Child Term Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
543CTR,8043 CTR,PLANNAME,DEPENDENT CHILD TERM RIDER,Dependent Child Term Rider,Dependent Child Term Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
8043CTR WP,8043CTR WP,PLAN,8043CTR WP,943CWP,8043CTR WP,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
8043CTR WP,8043CTR WP,FORM,,8043CTR WP,NA,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
8043CTR WP,8043CTR WP,DESCR,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
8043CTR WP,8043CTR WP,PLANNAME,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,8043 CTR WAIVER OF PREMIUM,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
8046 JPO,8046 JPO,PLAN,8046 JPO,9JPO46,8046 JPO,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
8046 JPO,8046 JPO,FORM,8046,8046 JPO,8046,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
8046 JPO,8046 JPO,DESCR,JUVENILE FUTURE PURCHASE OPTION RIDER,Juvenile Future Purchase Option Rider,Juvenile Future Purchase Option Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
8046 JPO,8046 JPO,PLANNAME,JUVENILE FUTURE PURCHASE OPTION RIDER,Juvenile Future Purchase Option Rider,Juvenile Future Purchase Option Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
9L05WP,8115,PLAN,9L05WP,,8115,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9L05WP,8115,FORM,8115,8115,8115,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number,ALIGNED,NONE,CONFIRMED
9L05WP,8115,DESCR,DISABILITY WAIVER OF PREMIUM RIDER,Disability Waiver of Premium Rider,Disability Waiver of Premium Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9L05WP,8115,PLANNAME,DISABILITY WAIVER OF PREMIUM RIDER,Disability Waiver of Premium - L05 10YLT,Disability Waiver of Premium Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9L01WP,8115 L01,PLAN,9L01WP,,8115 L01,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9L01WP,8115 L01,FORM,8115,8115 L01,8115,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9L01WP,8115 L01,DESCR,DISABILITY WAIVER OF PREMIUM RIDER,Disability Waiver of Premium Rider,Disability Waiver of Premium Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9L01WP,8115 L01,PLANNAME,DISABILITY WAIVER OF PREMIUM RIDER,Disability Waiver of Premium - L01 10YLT,Disability Waiver of Premium Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
560STR,826,PLAN,560STR,,826,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
560STR,826,FORM,826,826,826,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number,ALIGNED,NONE,CONFIRMED
560STR,826,DESCR,PAID UP SPOUSE TERM RIDER,Paid Up Spouse Term Rider,Paid Up Spouse Term Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
560STR,826,PLANNAME,PAID UP SPOUSE TERM RIDER,"Paid Up STR - 960 LP85-M, 960 OL, 960 PO",Paid Up Spouse Term Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
528CTR,828,PLAN,528CTR,,828,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
528CTR,828,FORM,828,828,828,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number,ALIGNED,NONE,CONFIRMED
528CTR,828,DESCR,CHILD'S TERM INSURANCE,Child's Term Insurance,Child's Term Insurance,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
528CTR,828,PLANNAME,CHILD'S TERM INSURANCE,"CTR for 960 LP65, 960 OL, 960 PO",Child's Term Insurance,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
986JPO,8286 GI 1,PLAN,986JPO,,8286 GI 1,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
986JPO,8286 GI 1,FORM,8286,8286 GI 1,8286,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
986JPO,8286 GI 1,DESCR,JUVENILE FUTURE PURCHASE OPTION,Juvenile Future Purchase Option,Juvenile Future Purchase Option,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
986JPO,8286 GI 1,PLANNAME,JUVENILE FUTURE PURCHASE OPTION,Juv Future Purchase Option - L17,Juvenile Future Purchase Option,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
982JPO,8286 GI 2+,PLAN,982JPO,,8286 GI 2+,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
982JPO,8286 GI 2+,FORM,8286,8286 GI 2+,8286,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
982JPO,8286 GI 2+,DESCR,JUVENILE FUTURE PURCHASE OPTION,Juvenile Future Purchase Option,Juvenile Future Purchase Option,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
982JPO,8286 GI 2+,PLANNAME,JUVENILE FUTURE PURCHASE OPTION,Juv Future Purchase Option - L17,Juvenile Future Purchase Option,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
A60MIR,863,PLAN,A60MIR,,863,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
A60MIR,863,FORM,863,863,863,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number,ALIGNED,NONE,CONFIRMED
A60MIR,863,DESCR,MONTHLY INCOME RIDER,Monthly Income Rider,Monthly Income Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
A60MIR,863,PLANNAME,MONTHLY INCOME RIDER,"Monthly Income Rider- 960 LP85-M, 960 PO",Monthly Income Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
960GIO,889 960,PLAN,960GIO,,889 960,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
960GIO,889 960,FORM,889,889 960,889,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
960GIO,889 960,DESCR,960 GUARANTEE INSURABILITY OPTION,960 Guarantee Insurability Option,960 Guarantee Insurability Option,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
960GIO,889 960,PLANNAME,960 GUARANTEE INSURABILITY OPTION,Guarantee Insurability Option - 960 OL,960 Guarantee Insurability Option,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
A96DAR,896 DAR,PLAN,A96DAR,,896 DAR,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
